Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,0.255000,0.280000,0.255000,0.280000,0.280000,28545
2020-01-03,0.295000,0.365000,0.295000,0.350000,0.350000,95692
2020-01-06,0.350000,0.350000,0.350000,0.350000,0.350000,652
2020-01-07,0.330000,0.335000,0.310000,0.335000,0.335000,41069
2020-01-08,0.315000,0.315000,0.315000,0.315000,0.315000,6000
2020-01-09,0.330000,0.330000,0.330000,0.330000,0.330000,16583
2020-01-10,0.310000,0.310000,0.310000,0.310000,0.310000,500
2020-01-13,0.325000,0.340000,0.325000,0.340000,0.340000,8652
2020-01-14,0.345000,0.345000,0.320000,0.320000,0.320000,10786
2020-01-15,0.310000,0.310000,0.310000,0.310000,0.310000,1000
2020-01-16,0.310000,0.310000,0.295000,0.295000,0.295000,10439
2020-01-17,0.310000,0.310000,0.310000,0.310000,0.310000,5000
2020-01-20,0.300000,0.300000,0.250000,0.250000,0.250000,126976
2020-01-21,0.260000,0.280000,0.247000,0.280000,0.280000,200902
2020-01-22,0.280000,0.280000,0.250000,0.250000,0.250000,189627
2020-01-23,0.260000,0.260000,0.245000,0.245000,0.245000,7391
2020-01-24,0.255000,0.255000,0.250000,0.250000,0.250000,45428
2020-01-28,0.260000,0.280000,0.260000,0.280000,0.280000,22114
2020-01-29,0.265000,0.265000,0.250000,0.250000,0.250000,31827
2020-01-30,0.280000,0.320000,0.270000,0.300000,0.300000,1168465
2020-01-31,0.310000,0.375000,0.310000,0.345000,0.345000,871298
2020-02-03,0.360000,0.360000,0.330000,0.330000,0.330000,561395
2020-02-04,0.325000,0.347000,0.310000,0.315000,0.315000,432435
2020-02-05,0.335000,0.340000,0.315000,0.315000,0.315000,512884
2020-02-06,0.320000,0.320000,0.280000,0.320000,0.320000,203160
2020-02-07,0.315000,0.315000,0.300000,0.300000,0.300000,214850
2020-02-10,0.310000,0.310000,0.300000,0.300000,0.300000,844973
2020-02-11,0.315000,0.315000,0.290000,0.290000,0.290000,292224
2020-02-12,0.290000,0.300000,0.290000,0.300000,0.300000,234394
2020-02-13,0.310000,0.310000,0.290000,0.290000,0.290000,183308
2020-02-14,0.300000,0.310000,0.300000,0.310000,0.310000,115564
2020-02-17,0.310000,0.310000,0.305000,0.305000,0.305000,31699
2020-02-18,0.310000,0.320000,0.305000,0.305000,0.305000,208084
2020-02-19,0.305000,0.315000,0.290000,0.305000,0.305000,27408
2020-02-20,0.300000,0.305000,0.300000,0.305000,0.305000,19099
2020-02-21,0.290000,0.300000,0.290000,0.290000,0.290000,74379
2020-02-24,0.280000,0.295000,0.270000,0.270000,0.270000,259897
2020-02-25,0.270000,0.270000,0.260000,0.260000,0.260000,62821
2020-02-26,0.265000,0.270000,0.260000,0.260000,0.260000,174315
2020-02-27,0.265000,0.285000,0.265000,0.265000,0.265000,123305
2020-02-28,0.265000,0.265000,0.260000,0.260000,0.260000,113963
2020-03-02,0.260000,0.260000,0.260000,0.260000,0.260000,36000
2020-03-03,0.270000,0.270000,0.270000,0.270000,0.270000,2674
2020-03-04,0.270000,0.270000,0.250000,0.260000,0.260000,66645
2020-03-05,0.265000,0.265000,0.225000,0.260000,0.260000,136012
2020-03-06,0.245000,0.250000,0.240000,0.245000,0.245000,235186
2020-03-09,0.245000,0.245000,0.240000,0.240000,0.240000,98332
2020-03-10,0.230000,0.250000,0.220000,0.220000,0.220000,374834
2020-03-11,0.240000,0.250000,0.235000,0.235000,0.235000,59573
2020-03-12,0.230000,0.250000,0.225000,0.230000,0.230000,279395
2020-03-13,0.220000,0.260000,0.210000,0.260000,0.260000,382147
2020-03-16,0.260000,0.260000,0.225000,0.250000,0.250000,130265
2020-03-17,0.255000,0.255000,0.230000,0.230000,0.230000,53903
2020-03-18,0.240000,0.260000,0.240000,0.250000,0.250000,74351
2020-03-19,0.275000,0.405000,0.270000,0.335000,0.335000,2001520
2020-03-20,0.350000,0.450000,0.350000,0.420000,0.420000,26570605
2020-03-23,0.515000,0.640000,0.420000,0.635000,0.635000,5727839
2020-03-24,0.680000,0.880000,0.670000,0.680000,0.680000,3988764
2020-03-25,0.690000,0.740000,0.485000,0.545000,0.545000,3375006
2020-03-26,0.560000,0.670000,0.505000,0.570000,0.570000,2116098
2020-03-27,0.625000,0.710000,0.600000,0.700000,0.700000,2219541
2020-03-30,0.710000,0.825000,0.710000,0.785000,0.785000,1647785
2020-03-31,0.795000,0.820000,0.720000,0.800000,0.800000,2425880
2020-04-01,0.745000,0.745000,0.715000,0.735000,0.735000,369441
2020-04-02,0.735000,0.735000,0.670000,0.700000,0.700000,1010701
2020-04-03,0.730000,0.732500,0.682000,0.710000,0.710000,5314117
2020-04-06,0.735000,0.945000,0.725000,0.945000,0.945000,2684447
2020-04-07,0.950000,1.060000,0.850000,1.000000,1.000000,1346693
2020-04-08,1.035000,1.055000,0.990000,1.000000,1.000000,1973254
2020-04-09,1.020000,1.240000,1.020000,1.210000,1.210000,2276242
2020-04-14,1.250000,1.285000,1.090000,1.180000,1.180000,1378243
2020-04-15,1.150000,1.150000,1.050000,1.080000,1.080000,1224598
2020-04-16,1.070000,1.115000,0.960000,1.090000,1.090000,794094
2020-04-17,1.090000,1.230000,1.070000,1.160000,1.160000,1138650
2020-04-20,1.195000,1.365000,1.180000,1.300000,1.300000,1101540
2020-04-21,1.280000,1.280000,1.170000,1.210000,1.210000,1975521
2020-04-22,1.165000,1.165000,1.075000,1.130000,1.130000,1005096
2020-04-23,1.185000,1.200000,1.150000,1.150000,1.150000,1049295
2020-04-24,1.150000,1.160000,1.115000,1.115000,1.115000,231230
2020-04-27,1.180000,1.210000,1.150000,1.175000,1.175000,394989
2020-04-28,1.185000,1.340000,1.165000,1.305000,1.305000,1051882
2020-04-29,1.290000,1.290000,1.080000,1.115000,1.115000,3577573
2020-04-30,1.120000,1.175000,1.025000,1.140000,1.140000,1553590
2020-05-01,1.110000,1.160000,1.080000,1.080000,1.080000,1025613
2020-05-04,1.080000,1.080000,1.080000,1.080000,1.080000,0
2020-05-05,1.180000,1.250000,1.140000,1.200000,1.200000,1704820
2020-05-06,1.160000,1.195000,1.135000,1.160000,1.160000,841073
2020-05-07,1.160000,1.250000,1.150000,1.230000,1.230000,725391
2020-05-08,1.220000,1.220000,1.135000,1.155000,1.155000,2499586
2020-05-11,1.155000,1.210000,1.155000,1.160000,1.160000,1176846
2020-05-12,1.170000,1.180000,1.140000,1.160000,1.160000,795365
2020-05-13,1.180000,1.200000,1.155000,1.170000,1.170000,130857
2020-05-14,1.180000,1.180000,1.145000,1.160000,1.160000,578676
2020-05-15,1.160000,1.180000,1.120000,1.160000,1.160000,425014
2020-05-18,1.160000,1.165000,1.065000,1.090000,1.090000,1468852
2020-05-19,1.110000,1.120000,1.060000,1.110000,1.110000,511835
2020-05-20,1.110000,1.140000,1.080000,1.140000,1.140000,284400
2020-05-21,1.140000,1.150000,1.060000,1.120000,1.120000,156715
2020-05-22,1.110000,1.120000,1.070000,1.105000,1.105000,321758
2020-05-25,1.105000,1.150000,1.090000,1.150000,1.150000,220626
2020-05-26,1.150000,1.150000,1.100000,1.120000,1.120000,108312
2020-05-27,1.115000,1.130000,1.100000,1.130000,1.130000,467569
2020-05-28,1.130000,1.140000,1.100000,1.100000,1.100000,40358
2020-05-29,1.120000,1.130000,1.070000,1.100000,1.100000,7320085
2020-06-01,1.120000,1.120000,1.025000,1.050000,1.050000,1510047
2020-06-02,1.070000,1.120000,1.050000,1.075000,1.075000,429555
2020-06-03,1.080000,1.100000,1.070000,1.095000,1.095000,185769
2020-06-04,1.100000,1.100000,1.065000,1.080000,1.080000,275874
2020-06-05,1.080000,1.105000,1.070000,1.080000,1.080000,522801
2020-06-09,1.080000,1.080000,1.025000,1.080000,1.080000,308773
2020-06-10,1.080000,1.090000,1.050000,1.080000,1.080000,1156343
2020-06-11,1.080000,1.120000,1.060000,1.060000,1.060000,760292
2020-06-12,1.035000,1.035000,0.980000,1.000000,1.000000,859672
2020-06-15,1.030000,1.030000,0.920000,0.945000,0.945000,887867
2020-06-16,0.960000,1.065000,0.960000,1.050000,1.050000,516280
2020-06-17,1.050000,1.090000,1.050000,1.070000,1.070000,434593
2020-06-18,1.065000,1.085000,1.050000,1.050000,1.050000,858961
