Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,18.820000,19.400000,18.660000,19.299999,19.299999,318931
2020-01-03,19.240000,19.320000,18.920000,19.219999,19.219999,225756
2020-01-06,19.180000,19.200001,18.340000,18.700001,18.700001,330027
2020-01-07,18.840000,19.660000,18.840000,19.580000,19.580000,405581
2020-01-08,19.360001,20.049999,19.139999,19.940001,19.940001,401223
2020-01-09,20.100000,20.200001,19.780001,19.980000,19.980000,229224
2020-01-10,19.879999,19.920000,19.260000,19.440001,19.440001,358404
2020-01-13,19.440001,19.740000,19.340000,19.559999,19.559999,187760
2020-01-14,19.540001,19.940001,19.120001,19.900000,19.900000,372809
2020-01-15,19.920000,20.750000,19.760000,20.700001,20.700001,543863
2020-01-16,23.600000,23.650000,20.450001,21.100000,21.100000,1897987
2020-01-17,20.900000,22.850000,20.900000,22.750000,22.750000,988718
2020-01-20,22.650000,23.350000,22.500000,23.049999,23.049999,751947
2020-01-21,23.049999,24.000000,22.900000,22.900000,22.900000,876940
2020-01-22,22.950001,23.500000,22.299999,23.100000,23.100000,612014
2020-01-23,23.150000,23.150000,22.549999,22.950001,22.950001,330806
2020-01-24,23.049999,23.850000,22.950001,23.350000,23.350000,512012
2020-01-27,23.200001,23.200001,22.150000,22.150000,22.150000,634693
2020-01-28,22.150000,22.549999,21.799999,22.400000,22.400000,347788
2020-01-29,22.400000,23.000000,22.299999,22.900000,22.900000,333196
2020-01-30,22.600000,22.900000,22.250000,22.250000,22.250000,166994
2020-01-31,22.250000,22.600000,21.450001,21.500000,21.500000,423701
2020-02-03,21.600000,22.500000,21.600000,22.350000,22.350000,589304
2020-02-04,22.549999,23.049999,22.299999,22.950001,22.950001,421257
2020-02-05,23.049999,23.400000,22.700001,22.750000,22.750000,343193
2020-02-06,23.000000,23.000000,22.350000,22.600000,22.600000,256503
2020-02-07,22.549999,22.650000,22.350000,22.549999,22.549999,182049
2020-02-10,22.600000,22.799999,22.400000,22.750000,22.750000,219559
2020-02-11,22.799999,23.549999,22.750000,23.500000,23.500000,244382
2020-02-12,23.600000,24.049999,22.950001,23.750000,23.750000,384005
2020-02-13,23.650000,23.750000,23.150000,23.450001,23.450001,368100
2020-02-14,23.350000,23.500000,22.500000,23.200001,23.200001,371575
2020-02-17,23.350000,24.200001,23.049999,24.100000,24.100000,275458
2020-02-18,24.000000,24.299999,22.950001,23.700001,23.700001,441286
2020-02-19,23.900000,25.549999,23.900000,24.350000,24.350000,767997
2020-02-20,24.350000,24.500000,23.150000,23.700001,23.700001,705161
2020-02-21,23.750000,24.450001,23.500000,24.000000,24.000000,484192
2020-02-24,22.700001,23.250000,21.799999,21.850000,21.850000,804333
2020-02-25,22.000000,22.450001,21.400000,21.500000,21.500000,563945
2020-02-26,20.100000,21.950001,19.799999,21.850000,21.850000,1287989
2020-02-27,21.299999,21.700001,20.650000,20.799999,20.799999,893489
2020-02-28,19.980000,21.950001,19.820000,21.950001,21.950001,1840812
2020-03-02,23.100000,23.400000,21.100000,22.100000,22.100000,1494919
2020-03-03,23.600000,24.150000,22.500000,22.950001,22.950001,1502685
2020-03-04,23.700001,25.250000,23.049999,25.000000,25.000000,1846463
2020-03-05,26.900000,27.850000,24.549999,26.299999,26.299999,2155828
2020-03-06,25.600000,26.100000,24.549999,24.799999,24.799999,1212653
2020-03-09,22.700001,23.750000,21.950001,23.250000,23.250000,1485552
2020-03-10,23.600000,24.150000,22.100000,22.200001,22.200001,1578109
2020-03-11,22.250000,22.549999,20.450001,20.650000,20.650000,1251097
2020-03-12,19.340000,19.900000,18.200001,19.059999,19.059999,1295280
2020-03-13,19.320000,20.700001,18.379999,18.459999,18.459999,1474394
2020-03-16,17.040001,20.150000,16.139999,19.680000,19.680000,2206124
2020-03-17,19.920000,21.600000,17.900000,19.900000,19.900000,1927145
2020-03-18,19.879999,24.150000,19.540001,22.500000,22.500000,2273161
2020-03-19,23.150000,24.799999,22.400000,23.000000,23.000000,1088105
2020-03-20,24.049999,24.850000,22.700001,24.000000,24.000000,2745163
2020-03-23,24.150000,26.500000,23.600000,25.299999,25.299999,1679242
2020-03-24,27.150000,27.650000,25.200001,26.400000,26.400000,1144690
2020-03-25,27.600000,28.049999,23.900000,25.950001,25.950001,1214768
2020-03-26,26.700001,28.400000,25.799999,25.950001,25.950001,1526960
2020-03-27,26.150000,26.900000,24.799999,25.150000,25.150000,954431
